Day,Month,Year,MinPressure,MaxPressure,MinVapour,MaxVapour,MinRelativeHumidity,MaxRelativeHumidity,MinTemperature,MaxTemperature,Rain,MinRadiation,MaxRadiation
13,2,1989,1011.5,1015.7,12.7,11.9,43,54,26.3,14.6,0,,
14,2,1989,1010.7,1012.9,13.8,14.5,44,59,27,16.2,0,,
15,2,1989,1007.3,1010.4,23.4,19.7,68,71,30.6,18.4,0,,
16,2,1989,1007.3,1012,13.4,15.3,35,52,30.4,15.7,0,,
17,2,1989,1008.4,1013.1,15.2,17.1,41,59,30.9,20.1,0,,
18,2,1989,1010.2,1013.7,16.3,25.5,47,96,29.6,21,0,,
19,2,1989,1008,1009.4,22.9,23.5,63,67,30.4,23.4,0,,
20,2,1989,1010.6,1018.7,10.7,8.5,37,40,29.5,11.9,0,,
21,2,1989,1014.6,1015.8,8.5,12.3,34,56,23.5,11.5,0,,
22,2,1989,1010.5,1012.4,11,16.7,36,64,27,14.5,0,,
23,2,1989,1008.8,1015.1,20.4,16.9,65,72,28.6,17,0,,
24,2,1989,1013.2,1017.5,10.6,13.6,35,59,26.7,13.5,0,,
25,2,1989,1012.5,1014.9,11.3,12,38,49,26.4,14.7,0,,
26,2,1989,1011.3,1016,11.7,13.1,32,49,28.2,14,0,,
27,2,1989,1012.3,1015.2,12.9,16,38,60,29.2,14.6,0,,
28,2,1989,1011.7,1014.1,12.7,23.1,32,73,32,19,0,,
1,3,1989,1009.4,1012.5,18.3,23.5,40,80,34.4,20.8,0,,
2,3,1989,1007.6,1011.2,14.4,25,31,94,34,19.6,0,,
3,3,1989,1007.6,1012.2,14.5,11.4,33,35,33,18.8,0,,
4,3,1989,1008.5,1013.1,10.9,8.2,28,26,31.2,18,0,,
5,3,1989,1008.3,1011.7,10.9,10.7,28,36,30.9,16,0,,
6,3,1989,1007.5,1011.9,11.8,16.7,29,55,32.2,19,0,,
7,3,1989,1008,1014,10.5,23.2,26,71,32.6,18.1,0,,
8,3,1989,1009.6,1013.9,16.6,25.8,39,86,33,19.6,0,,
9,3,1989,1009.3,1014.3,17,23.7,39,70,32.8,21.9,0,,
10,3,1989,1011.1,1013.5,12.4,16,31,44,33.8,19.2,0,,
11,3,1989,1009.8,1013.2,13.9,25,44,79,34,22,0,,
12,3,1989,1012,1014.2,16.3,17,53,63,28.4,19.6,0,,
13,3,1989,1009,1012.7,16.1,21.7,43,71,29.8,18.6,0,,
14,3,1989,1008.2,1013.2,20.5,17.9,62,57,31.4,17.6,0.4,,
15,3,1989,1008.9,1012.6,16.5,15.2,40,41,32,19.6,0,,
16,3,1989,1007.9,1011.7,15.5,18,35,56,33.7,21.6,0,,
17,3,1989,1007.1,1011.2,15.9,23.5,35,64,34.4,21.5,0,,
18,3,1989,1006.8,1010.8,14.6,19.6,32,56,33.4,20.6,0,,
19,3,1989,1004.7,1008.9,17.4,27.9,38,95,34.4,23,0,,
20,3,1989,1004.5,1008.2,16.5,30.2,34,89,35.4,23.5,0,,
21,3,1989,1002.8,1007.9,14.8,16.2,23,38,35.7,22.8,0,,
22,3,1989,1002.8,1005.9,13.5,25.3,25,64,36.2,24.7,0,,
23,3,1989,1001.4,1005.7,17.9,19.9,33,47,27.4,24,0,,
24,3,1989,1001.1,1007.1,16.6,15.6,31,38,27.6,24.8,0,,
25,3,1989,1003.6,1010.1,18.3,18.9,31,43,36.2,23.2,0,,
26,3,1989,1006.8,1010.2,14.4,24.1,30,57,35.3,25.2,0,,
27,3,1989,1006.5,1010.5,14.8,16.3,29,38,36.2,22.8,0,,
28,3,1989,1007.9,1013.8,17.6,16.9,34,46,36.5,21.8,0,,
29,3,1989,1009.7,1013.2,17.5,14.1,41,45,33.2,23,0,,
30,3,1989,1009,1012.2,20.2,17.9,76,66,26.4,19.2,1.9,,
31,3,1989,1008.2,1012.8,17.5,18.1,35,77,31.4,20.4,0,,
1,4,1989,1008.1,1009.5,21.8,28.9,53,75,32.7,23.1,0,,
2,4,1989,1002.6,1005.1,17.1,26.7,33,65,35.3,25.4,0,,
3,4,1989,1000.8,1007.6,25.9,21.7,53,52,37.8,24.1,0,,
4,4,1989,1004.3,1009.6,12.9,28.6,26,70,36.6,25.4,0,,
5,4,1989,1005,1008.2,12.3,28.3,26,73,34.7,24.8,0,,
6,4,1989,1003.2,1008.3,13.4,26.3,26,68,36.2,24.7,0,,
7,4,1989,1004.3,1009,9.1,11.2,18,25,35.7,20.7,0,,
8,4,1989,1003.6,1008.4,9,24,17,59,36,21.4,0,,
9,4,1989,1003.2,1006.1,14.1,29.3,26,69,37.3,24.4,0,,
10,4,1989,1001.6,1005.7,21,30.7,36,78,38.9,24.3,0,,
11,4,1989,1000.7,1004.7,31.1,22.9,66,50,37.3,25.5,0,,
12,4,1989,1000.3,1007.6,28.4,25.3,55,59,39,25.8,0,,
13,4,1989,1004.2,1009.7,19.6,29.1,37,68,36.9,26.1,0,,
14,4,1989,1004.9,1009.4,14.7,28.4,26,67,38.1,26.1,0,,
15,4,1989,1004.7,1008.3,29.3,30,53,69,38.1,25.5,0,,
16,4,1989,1002.3,1005.3,16.5,31.1,29,69,39.4,26.4,0,,
17,4,1989,1000.7,1004.5,32.1,31.9,70,72,36.3,26.3,0,,
18,4,1989,1002,1007.3,33,29.3,68,67,35.6,26,0,,
19,4,1989,1003.9,1008,34,31.1,66,72,37.3,26.4,0,,
20,4,1989,1003.9,1006.5,32.1,32.6,70,71,35,26.4,0,,
21,4,1989,1003.5,1006,31.1,28.8,58,61,37.7,25.8,0,,
22,4,1989,1001.2,1004,33.2,34.4,61,81,39.8,26.2,0,,
23,4,1989,999.7,1004.2,30.9,34,53,81,40.6,25.6,0,,
24,4,1989,1000.6,1005.4,31.9,33.2,63,70,38.8,26.6,0,,
25,4,1989,1001.6,1006.2,31.1,30.9,58,67,39.2,25.7,0,,
26,4,1989,1002.2,1005.7,32.1,34,64,79,38,26.9,0,,
27,4,1989,1001.9,1005.4,27.9,32.2,55,64,37.8,27.4,0,,
28,4,1989,1002.9,1005.6,33.6,31.7,75,73,37.6,24.4,1.6,,
29,4,1989,1002.2,1004.1,31.9,29.1,65,76,36.3,26.6,0,,
30,4,1989,999.4,1003.7,22.9,34.2,86,76,35.7,21.7,24.6,,
1,5,1989,1003.1,1007.8,30,33.6,69,75,36.4,26,0,,
2,5,1989,1004,1005.4,30.4,30.9,67,61,36.2,27.6,0,,
3,5,1989,1001.6,1004.6,32.8,35,70,74,35.6,28.4,0,,
4,5,1989,999.8,1004.8,36.7,31.3,67,59,39,27.8,0,,
5,5,1989,999.9,1004.9,36.5,36.3,63,76,41.8,27.3,0,,
6,5,1989,1000.6,1005,35,35.9,67,79,41.6,26.8,0,,
7,5,1989,1001.5,1005.6,34.6,33,59,66,40.9,28.5,0,,
8,5,1989,1001.2,1005.7,30.4,34.2,48,68,40.7,27.8,0,,
9,5,1989,1000.5,1003.8,14.3,33.8,21,67,40.7,27.9,0,,
10,5,1989,997.5,1002.8,11.5,32.1,18,68,40.2,27,0,,
11,5,1989,998.9,1004.4,24.3,30.5,42,65,38.2,26.4,0,,
12,5,1989,1001.4,1006.6,30.4,28.9,59,62,37.2,27.2,0,,
13,5,1989,1001.1,1004.6,27.6,36.5,53,68,36.4,27.4,0,,
14,5,1989,1000.5,1004.7,30.2,28.4,65,71,35.4,21,10,,
15,5,1989,999.8,1002.2,30.7,34.4,64,75,34.4,27.7,0,,
16,5,1989,998.4,1004.6,32.4,34.4,72,81,34.5,24.3,1.8,,
17,5,1989,1000.8,1005.3,33,34.8,73,81,34,27.6,2.5,,
18,5,1989,1002.9,1007.1,29.7,28.6,90,87,31.2,24.6,6.3,,
19,5,1989,1002,1005.7,29.3,32.4,67,72,34,26,0,,
20,5,1989,1000.2,1003.9,27.6,30.4,53,64,35.5,26.6,0,,
21,5,1989,998.6,1001.4,26.9,32.8,48,70,36,26.6,0,,
22,5,1989,997.3,1000.2,28.8,30.7,54,61,36.2,27.2,0,,
23,5,1989,996.6,1000.2,26.1,33.2,46,72,36.5,26.6,0,,
24,5,1989,997.1,999.4,28.8,29.8,63,58,34.4,25.2,3,,
25,5,1989,997.5,999.7,28.1,30.7,61,87,35.3,26.1,2.1,,
26,5,1989,997.1,996,30.5,31.1,83,90,32.6,25.4,10.2,,
30,5,1989,1001.7,1006.1,30.9,33,67,77,34.2,27.2,0,,
31,5,1989,1003.4,1007.7,30.2,28.6,65,76,34.3,22.1,20.7,,
1,6,1989,1003.6,1006.9,30.2,32.4,65,73,34.4,27.2,0,,
2,6,1989,1002.3,1005.4,28.9,32.1,62,73,34.2,26.9,0,,
3,6,1989,1000.4,1003.9,31.5,34.4,66,73,34.4,26.8,0,,
4,6,1989,999.9,1003,33.6,31.1,69,78,34.8,23.2,38.8,,
5,6,1989,1000.2,1003,31.9,33.6,67,78,34.8,23.2,38.8,,
6,6,1989,999.4,1002.4,31.5,34.2,68,76,34.4,28,0,,
7,6,1989,998.6,1003.7,31.7,35.4,67,80,34.6,24,1,,
8,6,1989,999.8,1003.5,32.4,29.8,67,66,34.4,27.5,4.2,,
9,6,1989,998.4,1001,32.4,34.8,60,71,36.9,27.7,0,,
10,6,1989,995.5,1000.4,29.3,36.9,61,80,38.5,27.9,0.2,,
11,6,1989,995.6,1000.2,28.3,30.7,50,61,36.6,28.4,0,,
12,6,1989,995.8,998.6,30.4,32.6,59,77,35.9,27.6,0,,
13,6,1989,996,997,32.6,32.2,81,83,33.6,26.5,11.9,,
14,6,1989,993.2,991.3,34,31.5,85,85,29.3,26.4,35.8,,
15,6,1989,994.2,999.4,31.3,32.1,79,85,30,25.6,18.2,,
16,6,1989,998.6,1002.3,34.6,28.9,82,75,32,26.3,0,,
17,6,1989,999.6,1002.9,34.4,29.3,75,81,31.9,22.6,62,,
18,6,1989,1001.2,1002.7,29.7,31.7,81,82,27.7,24.2,8.6,,
19,6,1989,1000.2,1001.8,32.1,30.7,77,75,31,25.8,0,,
20,6,1989,997.2,997.8,31.9,32.2,83,83,33.4,25.5,8.3,,
21,6,1989,994.4,996.8,33,31.9,89,87,31.3,25.1,25.7,,
22,6,1989,995.7,1001,32.4,31.5,85,85,29.3,24.6,45.9,,
23,6,1989,999.9,1003.5,32.8,34.4,76,81,32.9,26.8,0,,
24,6,1989,999.9,1002,32.4,34,70,75,33.6,27.4,0,,
25,6,1989,998.8,1001.7,33.4,31.9,77,71,32.2,27.1,6,,
26,6,1989,997.8,1001.3,35.2,34,77,79,33.2,27.1,6,,
27,6,1989,998.5,1000.9,33.4,31.7,86,75,34,26.2,1,,
28,6,1989,997.7,999.7,28.6,32.1,62,75,33.1,27.1,0,,
29,6,1989,998,1000.4,32.6,33.2,77,78,32.8,26.4,3.9,,
30,6,1989,996.7,998.9,31.5,33.6,74,78,32.5,25.4,10.7,,
1,7,1989,996.9,999.3,33.4,32.1,79,85,32.4,27.4,7.8,,
2,7,1989,997.6,998.8,35.7,33.6,92,92,29.3,26.5,4.6,,
3,7,1989,997.8,1001.1,34.4,33,85,81,30.8,27,0.5,,
4,7,1989,998.2,1001.4,33.8,33.2,80,78,32.7,25.9,2.2,,
5,7,1989,999.5,1003.1,31.9,36.3,93,91,32.2,25.5,2.6,,
6,7,1989,1001.3,1005.4,33.2,35,97,86,31,26.2,47.8,,
7,7,1989,1002.3,1004.4,33.2,33.8,82,86,31.7,25.3,2.9,,
8,7,1989,1001.8,1005.5,34,32.4,85,76,31.4,26.9,0.2,,
9,7,1989,1003,1007.3,31.9,32.4,74,73,32.7,26.6,47.8,,
10,7,1989,1003,1004.8,33.4,33.6,74,75,34,27.4,0,,
11,7,1989,1000.2,1002.2,35.4,33,76,73,34.7,27.5,0,,
12,7,1989,1000.3,1001.7,30.7,33.8,84,80,34.5,24.6,22.2,,
13,7,1989,999.4,1002.2,35.9,34.8,89,81,34,26.6,31.2,,
14,7,1989,1001.2,1004.5,32.2,33.4,93,87,31.7,24.5,25.4,,
15,7,1989,1003.6,1007.3,32.2,33.2,83,82,29.8,25.1,15.1,,
16,7,1989,1003.3,1006.1,29.5,32.4,61,73,33.4,26.8,0,,
17,7,1989,1002.4,1004.9,33.4,32.4,77,73,33,26.6,0.8,,
18,7,1989,1000.8,1001.7,30.4,31.3,64,73,33.7,27.6,0,,
19,7,1989,997.6,1000.7,35.7,36.9,75,88,34.7,24.1,40.8,,
20,7,1989,997.2,998.8,33.7,31.3,81,75,33,24.6,25.2,,
21,7,1989,995.8,1000.1,33.6,34.4,75,79,33.4,27.6,0,,
22,7,1989,997.9,999.5,32.1,32.4,70,78,33.2,27.3,8,,
23,7,1989,997,1000.1,29.7,33,69,81,32.8,25.7,12.3,,
24,7,1989,998.4,1001,33,32.8,79,82,33.2,26.5,0.8,,
25,7,1989,1000.1,1002,31.1,34.4,78,81,31.9,25.8,21.6,,
26,7,1989,998.4,998.7,32.6,34.2,71,76,33.2,26.8,1.8,,
27,7,1989,995.5,996.8,34,33.6,79,78,34.3,26.4,0.6,,
28,7,1989,992.7,997.7,34.4,32.8,75,89,33.5,25.6,2.1,,
29,7,1989,997,1000.7,32.4,31.1,79,95,31.4,25.4,42.2,,
30,7,1989,999.5,1002.7,31.9,30.5,93,83,26.6,25.5,33.6,,
31,7,1989,1000.4,1003,29.3,31.9,77,95,30.7,25,11.6,,
1,8,1989,999.2,999.9,30,30.5,95,96,26.5,23.9,35.9,,
2,8,1989,998.5,1000.3,30.9,31.7,92,92,26.4,24.2,16.6,,
3,8,1989,997.5,999,33.6,25.5,82,90,31.5,25.3,7.7,,
4,8,1989,996.2,996.4,32.6,33,96,87,31,25.6,31.5,,
5,8,1989,993.9,996.7,33.4,33.4,86,86,31,25.7,14.2,,
6,8,1989,996.7,1001.2,32.8,33.8,78,80,32.6,25.2,10.2,,
7,8,1989,998.8,1002.9,30.4,31.5,75,74,31.6,25.6,0,,
8,8,1989,999.7,1002.7,32.2,34,77,79,32.8,26.6,0.4,,
9,8,1989,999.3,1002.7,33.2,33.8,78,77,31.7,26.7,0,,
10,8,1989,999.1,1001.8,32.1,32.6,75,75,33.6,26.8,2.1,,
11,8,1989,998.6,1001.5,31.2,33.3,78,78,33.5,26.7,0,,
12,8,1989,997.9,999.5,32.4,31.5,82,78,32.8,26,0.7,,
13,8,1989,996.9,1001.9,30.2,33.4,70,83,31.5,26.4,2.7,,
14,8,1989,999.5,1003.6,31.1,34,74,79,33,26.7,0.2,,
15,8,1989,1000,1002.8,31.1,33.2,72,78,33.4,26.8,2.1,,
16,8,1989,1001,1004.4,33.8,33.8,94,83,32.5,26.3,15.8,,
17,8,1989,1001.2,1005,31.5,32.8,78,78,32.5,26.3,0,,
18,8,1989,1002.6,1005,32.1,31.5,86,74,31.2,24.8,2.4,,
19,8,1989,1001.5,1003.9,31.5,34,74,85,32.6,26.4,1.9,,
20,8,1989,1000.9,1004.2,30.7,33.6,69,75,33.2,27.2,0.2,,
21,8,1989,1001.3,1004.4,33.6,32.8,75,76,33.8,27,5.4,,
22,8,1989,1001.4,1004,32.8,32.8,78,76,33.4,26.8,2,,
23,8,1989,999.8,1001,32.8,32.2,76,81,33,26.6,0,,
24,8,1989,998.5,1000.8,34.4,33.2,89,85,31.8,26.3,8.9,,
25,8,1989,997.6,1002.2,34.4,34.4,89,85,31.4,26.5,4.1,,
26,8,1989,999.6,1004,34.4,34.2,81,83,33,26.8,0.5,,
27,8,1989,999.7,1002.9,34.6,33.8,74,77,33.8,27.3,1.8,,
29,8,1989,997,1001.2,32.1,31.8,74,81,34.1,27.1,7.8,,
30,8,1989,997.2,1002.4,33.2,33.2,70,78,34.4,27.2,0,,
31,8,1989,999.1,1004.3,33.4,33.2,86,76,32.4,26.2,16.6,,
1,9,1989,1001.9,1007.7,31.1,30.5,72,86,32.9,26.6,0.1,,
2,9,1989,1003.4,1006.8,34.8,35,92,83,32,24.7,12.2,,
3,9,1989,1003.2,1005,34.2,34.2,80,76,33.5,27.4,0.9,,
4,9,1989,1000.8,1002.5,32.6,33.8,71,71,34.8,28.2,0,,
5,9,1989,999,1001.7,31.5,33.4,85,83,33,27,0.3,,
6,9,1989,999.2,1002.4,28.9,32.6,95,83,29.8,23.4,13.5,,
7,9,1989,999.9,1002.4,32.4,32.6,72,74,34,26.6,0,,
8,9,1989,999.4,1003.1,32.1,34.4,92,88,34,25.1,51,,
9,9,1989,999.8,1003.4,31.5,32.2,66,71,34,27,0,,
10,9,1989,999.8,1003.4,31.5,32.2,66,71,34,27,0,,
11,9,1989,1000.3,1002.2,32.4,33,89,83,33.6,26,95,,
12,9,1989,998.8,1000.7,33.4,32.2,86,93,31.9,25.6,5.3,,
13,9,1989,998.8,1002.1,32.8,32.6,85,95,29.3,25,18,,
14,9,1989,999.8,1004,32.1,33.4,92,93,27.5,25.4,12.8,,
15,9,1989,1001.6,1005.8,31.9,33,78,77,31,26.4,0.5,,
16,9,1989,1002.3,1006.3,32.8,32.4,76,72,33.4,26.6,0,,
17,9,1989,1003,1008.1,33.4,31.9,83,72,33.8,26.8,0,,
18,9,1989,1003.5,1007.2,32.1,32.1,73,75,34,27.2,0,,
16,9,1989,1002.3,1006.3,32.8,32.4,76,72,33.4,26.6,0,,
20,9,1989,1005.8,1009.8,27.5,33.6,76,75,33.2,26.6,0.4,,
21,9,1989,1007.9,1009.5,32.6,33.8,93,77,32.1,25.1,63,,
22,9,1989,1004.6,1007.5,32.1,33.2,75,78,34.4,24.5,0,,
23,9,1989,1004.3,1008.4,31.3,34,89,79,33,25.2,14,,
24,9,1989,1005.4,1007.7,28.8,32.1,90,86,31,24.8,2.8,,
25,9,1989,1002.8,1006,33,32.4,87,85,32.2,25.6,0,,
26,9,1989,1002.2,1005.6,32.6,32.4,90,92,32.7,25.3,16,,
27,9,1989,1001.4,1005.5,32.1,30.9,85,92,29.1,24.6,32.3,,
28,9,1989,1003.4,1008.4,30.4,30.4,87,90,29.6,23.8,31.5,,
29,9,1989,1006.3,1010.4,30.2,33.2,86,82,31.2,25.5,7,,
30,9,1989,1006.7,1010.5,30,32.1,78,75,31.8,26.2,2.6,,
1,10,1989,1006.4,1009.5,32.1,35.2,75,81,32.4,27.1,0,,
2,10,1989,1005.2,1008.6,29.8,34.2,63,77,34.7,27.1,0,,
3,10,1989,1004.2,1008.1,35.9,33.8,83,77,34.4,27,4.2,,
4,10,1989,1004,1007.3,31.9,32.2,65,71,34.7,26.4,2.3,,
5,10,1989,1003.4,1006.6,36.1,33.8,85,80,33.8,25,25.6,,
6,10,1989,1002.4,1007.6,31.5,32.1,90,89,34.1,23.5,21.9,,
7,10,1989,1003.8,1007.4,32.8,31.3,85,75,31.2,25.6,0,,
8,10,1989,1003.8,1006.5,31.9,32.8,83,85,32.8,25.7,0,,
9,10,1989,1003.6,1006.1,30.7,30.9,84,73,30.9,26,0,,
10,10,1989,1005.4,1008,30.2,30.5,93,79,32.7,24.6,3,,
11,10,1989,1005.1,1008.7,31.9,31.5,87,87,32.2,24.1,66.6,,
12,10,1989,1006.2,1010.3,30.7,31.9,74,78,32.6,25.1,0,,
13,10,1989,1006.5,1010,29.3,30.7,77,74,32.4,25.1,0,,
14,10,1989,1005.8,1008.2,29.5,30.5,71,76,32.3,25,0,,
15,10,1989,1004.3,1007.2,28.8,30.4,71,75,32.3,24.8,0,,
16,10,1989,1004.3,1008,28.6,31.3,68,75,33,26,0,,
17,10,1989,1006.1,1009.1,28.4,29.7,93,90,33.4,23.6,92.2,,
18,10,1989,1005.3,1005.7,28.8,30.4,90,93,28.3,23.2,29.4,,
19,10,1989,1004.7,1010.3,31.3,31.5,82,85,30.8,23.8,0.2,,
20,10,1989,1008.1,1012.5,31.1,31.7,78,92,31.8,24.3,1,,
21,10,1989,1008.8,1012.9,30.5,28.3,76,73,31.6,24,0,,
22,10,1989,1010.3,1013,27.7,25.8,72,64,31.5,24.4,0,,
23,10,1989,1009,1011.6,27.9,29.7,73,90,31.4,24.1,2.4,,
24,10,1989,1009.3,1012.2,27.3,26.9,85,91,30.6,21.6,9.3,,
25,10,1989,1009.2,1011.7,27.4,26.9,87,88,26.6,23.3,0,,
26,10,1989,1008.7,1012.3,28.9,29.8,87,86,27.7,23.5,0,,
27,10,1989,1009.9,1013.6,30,30,78,90,30.4,23.5,0,,
28,10,1989,1009.1,1013.7,28.1,30,74,84,31.4,22.8,0,,
29,10,1989,1009.7,1013.4,25.6,25,66,66,32.2,23,0,,
30,10,1989,1009.7,1013.9,26.1,22.9,67,61,32.6,21.8,0,,
31,10,1989,1010.9,1014.2,23.2,23.7,62,68,31.6,21.6,0,,
1,11,1989,1011.8,1015.4,23.4,23.7,63,70,31.2,21.5,0,,
2,11,1989,1011.6,1015.1,23.9,25.6,70,71,30.8,21.4,0,,
3,11,1989,1011.4,1014.2,24.3,18.9,66,52,30.5,21,0,,
4,11,1989,1010.9,1013.5,30.6,24.9,56,70,32.1,20,0,,
5,11,1989,1009.8,1013,19.5,18.6,53,54,32.5,20.2,0,,
6,11,1989,1009.2,1013.3,22.5,19.1,59,55,33,20.6,0,,
7,11,1989,1010.9,1016,24,21.6,59,59,33,21.6,0,,
8,11,1989,1013.7,1017.7,17.4,18.3,49,57,31.4,18.8,0,,
9,11,1989,1013.8,1016.6,16.9,16.7,53,60,29.5,16.8,0,,
10,11,1989,1012.9,1014.9,15.5,15.7,53,57,29.6,16,0,,
11,11,1989,1009.9,1013.3,19.4,18.1,61,65,29,16.8,0,,
12,11,1989,1009.9,1014.8,20.2,20.4,64,72,28.8,17.3,0,,
13,11,1989,1011.1,1015.8,21.6,19.5,66,62,29.4,18.8,0,,
14,11,1989,1011.8,1015.4,22.2,22.2,68,68,30.5,19.4,0,,
15,11,1989,1011.4,1014.2,22.1,23.8,65,80,30,19,0,,
16,11,1989,1010.9,1015.2,19.1,26.3,55,82,32,18.6,0,,
17,11,1989,1011.7,1016.2,23.4,26.1,65,90,33,21.6,0,,
18,11,1989,1012.2,1016.9,22.4,23.8,63,83,30.6,19.4,0,,
19,11,1989,1012.7,1016.9,15.9,16.4,49,68,29,16.5,0,,
20,11,1989,1012.8,1017.3,19.6,21.1,61,72,29.8,18.8,0,,
21,11,1989,1013.5,1017.9,24,22.9,71,86,29.4,19.2,0,,
22,11,1989,1014.3,1017.7,19.5,20.2,62,69,29.6,18,0,,
23,11,1989,1013.5,1017.4,17.3,17.8,55,64,30,16.7,0,,
24,11,1989,1013.9,1017.1,17.7,18.2,59,64,28.3,16.8,0,,
25,11,1989,1013.6,1019.1,17.9,17.1,60,59,28.6,16.2,0,,
26,11,1989,1016.2,1019.7,18.9,19.5,59,71,28.8,16.6,0,,
27,11,1989,1015.7,1018.9,16.7,18.3,58,59,29.6,17,0,,
28,11,1989,1014.8,1017,19,19.7,58,71,30.8,19,0,,
29,11,1989,1016.3,1020.4,18.5,19.4,51,72,27.8,17.3,0,,
30,11,1989,1017.1,1022.2,19,18.1,61,67,28.4,17.7,0,,
1,12,1989,1019,1023,16.2,16.2,51,61,28.7,17.4,0,,
2,12,1989,1019.2,1021.6,16.8,16.4,57,69,27.9,15.1,0,,
3,12,1989,1017.2,1020.5,16,14.5,54,60,28,14.5,0,,
4,12,1989,1016.4,1020.2,15.6,14.1,55,57,28,13.2,0,,
5,12,1989,1016.1,1019.2,13.3,12.7,50,53,27.3,14.1,0,,
6,12,1989,1016,1020.4,15.6,14,58,69,26.4,12.1,0,,
7,12,1989,1016.1,1019.3,14.6,10.9,59,67,25.6,11.5,0,,
8,12,1989,1014.6,1019.6,14.4,14.1,57,62,26,12,0,,
9,12,1989,1016.1,1018.9,15,13.8,59,67,26.3,11.4,0,,
10,12,1989,1015.2,1018.2,15.6,16.2,62,78,26.7,12,0,,
11,12,1989,1014.2,1018.5,15.4,14.5,58,68,27.3,12.6,0,,
12,12,1989,1015,1018.4,15.4,15.7,60,73,27.6,12.8,0,,
13,12,1989,1015.2,1019.7,16,16.8,60,79,27.2,13.4,0,,
14,12,1989,1017.6,1020.2,16.6,15.4,65,65,26.3,12.5,0,,
15,12,1989,1017.4,1019.6,14.9,15,60,68,26,13.8,0,,
16,12,1989,1016,1019.1,15.3,15,63,64,26.6,13,0,,
